"sid","sinstrument","ssymbol","sexpiry_dt","tdopen","tdhigh","tdlow","tdclose","tdtimestamp","twopen","twhigh","twlow","twclose","twtimestamp","tmopen","tmhigh","tmlow","tmclose","tmtimestamp","tyopen","tyhigh","tylow","tyclose","tytimestamp","dopen","dhigh","dlow","dclose","dtimestamp","wopen","whigh","wlow","wclose","wtimestamp","mopen","mhigh","mlow","mclose","mtimestamp","yopen","yhigh","ylow","yclose","ytimestamp","slastupdatedate"
714,"EQ","GENCON",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"29.95","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"30.90","31.85","29.55","30.45","14-OCT-2022","31.45","33.75","28.95","30.45","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
715,"EQ","GENUSPAPER",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"15.55","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"18.00","18.75","17.05","17.35","14-OCT-2022","15.55","19.25","15.55","17.35","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
716,"EQ","GENUSPOWER",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"78.85","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"81.00","81.40","77.15","78.00","14-OCT-2022","81.55","82.90","77.15","78.00","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
717,"EQ","GEOJITFSL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"47.10","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"50.00","50.60","48.90","49.05","14-OCT-2022","52.00","52.05","47.60","49.05","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
718,"EQ","GEPIL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"147.00","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"148.70","148.70","143.30","144.35","14-OCT-2022","150.00","154.95","143.30","144.35","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
719,"EQ","GESHIP",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"524.75","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"516.00","520.50","511.35","514.00","14-OCT-2022","552.00","552.00","499.60","514.00","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
720,"EQ","GET&D",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"124.20","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"128.75","130.95","121.35","123.80","14-OCT-2022","128.95","136.95","121.35","123.80","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
721,"EQ","GFLLIMITED",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"69.05","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"69.35","69.35","67.30","67.50","14-OCT-2022","70.05","72.40","67.30","67.50","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
722,"EQ","GHCL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"647.20","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"670.20","674.35","664.05","667.20","14-OCT-2022","672.00","686.95","660.00","667.20","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
723,"EQ","GICHSGFIN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"130.60","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"130.45","131.65","128.00","128.50","14-OCT-2022","132.30","132.90","128.00","128.50","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
724,"EQ","GICRE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"121.45","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"122.95","124.65","122.50","122.75","14-OCT-2022","124.60","126.00","122.00","122.75","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
